Job`Customer`Order_Date`Part_Number`Rev`Description`Order_Quantity`Extra_Quantity`Pick_Quantity`Make_Quantity`Open_Operations`Completed_Quantity`Shipped_Quantity`FG_Transfer_Qty`In_Production_Quantity`Certs_Required`Act_Scrap_Quantity`Customer_PO`Customer_PO_LN`Sched_End`Sched_Start` `Released_Date`User_Values
---`--------`----------`-----------`---`-----------`--------------`--------------`-------------`-------------`---------------`------------------`----------------`---------------`----------------------`--------------`------------------`-----------`--------------`---------`-----------`-`-------------`-----------
CALEB`D.LINNERUD`2020-05-15 00:00:00.000`DADF`A`aasdf`1`0`0`1`0`0`0`0`1`0`0`ASD`dsa`2023-03-30 00:00:00.000`2023-03-30 00:00:00.000`. Mike K`2021-12-14 00:00:00.000`NULL
129024`QUAL-CONN`2023-04-03 00:00:00.000`1266449`1`64T IDLER GEAR`6`0`0`6`5`0`0`0`6`0`0`23096`1`2023-04-25 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM Caleb H`2023-04-05 00:00:00.000`NULL
129023`HAMPSHIRE`2023-04-03 00:00:00.000`1306653`1`10.472OD 1.181W SHEAVE`58`0`0`58`6`0`0`0`58`0`0`54358`1`2023-04-27 00:00:00.000`2023-04-07 00:00:00.000`1 ITEM  Greg V`2023-04-05 00:00:00.000`NULL
129022`MO-GREELEY`2023-04-03 00:00:00.000`8641-0186`-`60T SPUR GEAR, NYLOIL`1`0`1`0`2`0`0`0`0`0`0`CO84-00103947`1`2023-05-01 00:00:00.000`2023-04-13 00:00:00.000`1 ITEM  Caleb H`2023-04-05 00:00:00.000`NULL
129021`WABASH NAT`2023-04-03 00:00:00.000`TAPER LOCK BUSHING #2`-`CUT INTERNAL SPLINE ONLY`4`0`0`4`3`0`0`0`4`0`0`7000041869`1`2023-04-21 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM  Caleb H`2023-04-04 00:00:00.000`NULL
129020`COPE-ALTON`2023-04-03 00:00:00.000`2750167004`01`60T, 2.5 MOD. SPUR GEAR`15`0`0`15`7`0`0`0`15`0`0`PO000010462-1`1`2023-05-16 00:00:00.000`2023-04-06 00:00:00.000`1 ITEM - JAMIE`2023-04-04 00:00:00.000`NULL
129019`KORBER`2023-04-03 00:00:00.000`071770`NULL`39T, 3 MOD SPUR GEAR`1`0`0`1`4`0`0`0`1`0`0`4201151770`4`2023-04-18 00:00:00.000`2023-04-05 00:00:00.000`1 OF 4 ITEMS  Greg V`2023-04-04 00:00:00.000`4372
129018`KORBER`2023-04-03 00:00:00.000`049582`NULL`33T, 3 MOD SPUR GEAR`1`0`0`1`4`0`0`0`1`0`0`4201151770`3`2023-04-18 00:00:00.000`2023-04-04 00:00:00.000`1 OF 4 ITEMS  Greg V`2023-04-04 00:00:00.000`4371
129017`KORBER`2023-04-03 00:00:00.000`049580`NULL`90T, 3 MOD SPUR GEAR`1`0`0`1`4`0`0`0`1`0`0`4201151770`2`2023-04-18 00:00:00.000`2023-04-04 00:00:00.000`1 OF 4 ITEMS  Greg V`2023-04-04 00:00:00.000`4370
129016`KORBER`2023-04-03 00:00:00.000`049579`NULL`68T, 3 MOD SPUR GEAR`1`0`0`1`4`0`0`0`1`0`0`4201151770`NULL`2023-04-18 00:00:00.000`2023-04-04 00:00:00.000`1 OF 4 ITEMS  Greg V`2023-04-04 00:00:00.000`4369
129015`BRETTING`2023-04-03 00:00:00.000`3994-622`NULL`60T, 6 DP SPUR GEAR`1`0`0`1`1`0`0`0`1`0`0`S16869`1`2023-04-17 00:00:00.000`2023-04-05 00:00:00.000`1 ITEM  Caleb H`2023-04-04 00:00:00.000`NULL
129014`KORBER`2023-04-03 00:00:00.000`K051D6930`NULL`40T, AT10 PULLEY`3`0`0`3`8`0`0`0`3`0`0`4201151746`3`2023-04-27 00:00:00.000`2023-04-05 00:00:00.000`1 OF 3 ITEMS  Greg V`2023-04-04 00:00:00.000`NULL
129013`KORBER`2023-04-03 00:00:00.000`364835-003`NULL`P40-8M-30 PULLEY, PAINTED`2`2`0`4`10`0`0`0`4`0`0`4201151746`2`2023-04-27 00:00:00.000`2023-04-10 00:00:00.000`1 OF 3 ITEMS  Greg V`2023-04-04 00:00:00.000`NULL
129012`KORBER`2023-04-03 00:00:00.000`332972`NULL`P60-8M-30 x 80MM, STEEL`1`0`0`1`9`0`0`0`1`0`0`4201151746`1`2023-04-27 00:00:00.000`2023-04-07 00:00:00.000`1 OF 3 ITEMS  Greg V`2023-04-04 00:00:00.000`NULL
129011`PSA - CUYA`2023-04-03 00:00:00.000`1267301`2`40A15 x .625 ST.ST. SPROCKET`1`0`1`0`2`0`0`0`0`0`0`P614173`1`2023-04-28 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM  Caleb H`2023-04-03 00:00:00.000`NULL
129010`QUAD-SUSSE`2023-04-03 00:00:00.000`0301.1200.3`NULL`23T, 2.5 MOD PINION`1`0`1`0`0`2`1`0`0`0`0`4658267`1`2023-04-06 00:00:00.000`2023-04-04 00:00:00.000`1 ITEM   Caleb H`2023-04-03 00:00:00.000`NULL
