Job`Material`Vendor`Description`Pick_Buy_Indicator`Status
---`--------`------`-----------`------------------`------
128542`312474`NULL`P30-5M-09 PULLEY`P`C
128541`4.5X303`NULL`4.5" RND.`P`C
128541`4.41-SS`PARKWAY`#940-SSX3.531`P`C
128540`4.5XGSM`NULL`4.5" RND.`P`C
128539`3/4" GSM 10.23 O.D. X 8.55 ID`ALRO`NULL`B`C
128538`5.5X4140HT`NULL`5.5" RND.`P`C
128537`8.5X4140HT`NULL`8.5" RND.`P`C
128536`6X4140HT`NULL`6" RND.`P`C
128535`8X4140HT`NULL`8" RND.`P`C
128534`8X4140HT`NULL`8" RND.`P`C
128533`2.25X4140HT`NULL`2.25" RND.`P`C
128532`11XDI`NULL`11" RND.`P`C
128531`7.5X4140HT`NULL`7.5" RND.`P`C
128530`11XDI`NULL`11" RND.`P`C
128529`11X4140HT`NULL`11" RND.`P`C
128528`15X4140HT`NULL`15" RND.`P`C
128527`4X4140HT`NULL`4" RND.`P`C
128526`1.7610-SS`PARKWAY`24XL-SS FLANGE 1.207 ID`P`O
128526`1.75X6061`NULL`1.75" RND.`P`O
128525`A36 RING 20.25X17X1.75THICK`ALRO`NULL`B`C
128524`E024278-00001`NULL`50T GEAR SLEEVE`P`C
128523`5.5X4140HT`NULL`5.5" RND.`P`C
128522`E024262-00001`NULL`50T FOLDER CLUTCH SLEEVE`P`C
128521`1.75X4140HT`NULL`1.75" RND.`P`C
128520`9XMC901`NULL`9" RND.`P`C
128519`.625XPHENOLIC PLATE`NULL`.625" THICK PLATE`P`C
128518`9X4140HT`CASTLE`9" RND.`P`C
128517`6X4140HT`CASTLE`6" RND.`P`C
128517`6X4140HT`CASTLE`6" RND.`P`C
128516`10.5X4140HT`CASTLE`10.5" RND.`P`C
128515`10.5X4140HT`CASTLE`10.5" RND.`P`C
128515`10.5X4140HT`CASTLE`10.5" RND.`P`C
128514`9X4140HT`CASTLE`9" RND.`P`C
128514`9X4140HT`CASTLE`9" RND.`P`C
128513`8X1545`ALRO`8" RND.`P`O
128512`13.5X4340`NULL`13.5" RND.`P`O
128510`4.911-AL`PARKWAY`8M-45 X 3.803 ALUM (942-AL)`P`C
128510`4.75X1545`ALRO`4.75" RND.`P`C
128509`7.5X1545`NULL`7.5" RND.`P`O
128508`NSM14.5X6.75X26  NYLON TUBING`ALRO`NSM14.5X6.75X26  NYLON TUBING`B`S
128508`7X2.25 CORE`NULL`7" STEEL CORE, 2.25" LONG`P`O
128507`1.75X4140HT`NULL`1.75" RND.`P`C
128506`5.5X4150HT`NULL`5.5" RND.`P`C
128505`2.25X4140HT`NULL`2.25" RND.`P`C
128504`30739343 - GEARS ONLY`NULL`50T, 4 MOD. SPUR GEAR`P`C
128503`30739247`NULL`50T, 4 MOD. SPUR GEAR`P`C
128502`1.25X6061`NULL`1.25" RND.`P`C
128501`00057B1948`NULL`48T, 16 DP SPUR GEAR - 4140`P`C
128500`CB242812 W/ #2 GROOVE`MOTION-JVL`NULL`B`C
